district,Zone,Geographical Region,Disaster,region,village,Date,Source,Data Cards,Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Victims,Affected,Relocated,Evacuated,Losses USD,Losses Local,Education centers,Hospitals,Damages in crops Ha.,Region
Sunsari,Kosi,Terai,FIRE,Eastern Region,Itahari Municipality,05/08/71,Gorkhapatra 1971-5-9,1,0,0,0,0,0,0,0,0,0,0,1000.0,0,0,0.0,Eastern
Dhanusa,Janakpur,Terai,RAINS,Central Region,Janakpur Municipality,05/08/71,Gorkhapatra 1971-5-9,1,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,Central
Sindhupalchok,Bagmati,Mountain,HAIL STORM,Central Region,Chautara,05/19/71,Gorkhapatra 1971-5-20,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Sarlahi,Janakpur,Terai,RAINS,Central Region,,05/21/71,Gorkhapatra 1971-5-22,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Rautahat,Narayani,Terai,BOAT CAPSIZE,Central Region,,05/11/71,Gorkhapatra 1971-5-22,1,5,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Myagdi,Dhawalagiri,Hill,FLOOD,Western Region,RATNE_CHAUR,05/24/71,Gorkhapatra 1971-5-26,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Western
Bhaktapur,Bagmati,Hill,RAINS,Central Region,BHAKTAPUR NP,05/26/71,Gorkhapatra 1974-5-27,1,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0.0,Central
Kathmandu,Bagmati,Hill,STRUCT.COLLAPSE,Central Region,KATHMANDU METROPOLITAN CITY,05/29/71,Gorkhapatra 1971-5-30,1,0,3,0,0,1,0,0,0,0,0,0.0,0,0,0.0,Central
Bhaktapur,Bagmati,Hill,FIRE,Central Region,SUDAL,06/03/71,Gorkhapatra 1971-6-4,1,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,Central
Tanahu,Gandaki,Hill,THUNDERSTORM,Western Region,,06/06/71,Gorkhapatra 1971-6-7,1,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Western
Chitawan,Narayani,Terai,FIRE,Central Region,SHAKTIKHOR,06/08/71,Gorkhapatra 1971-6-9,1,0,0,0,25,0,0,0,0,0,0,0.0,0,0,0.0,Central
Bhaktapur,Bagmati,Hill,STRUCT.COLLAPSE,Central Region,DADHIKOT,06/12/71,Gorkhapatra 1971-6-13,1,1,3,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Darchaula,Mahakali,Mountain,LANDSLIDE,Far Western Region,Chhapri,06/14/71,Gorkhapatra 1971-6-15,1,8,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Far-Western
Bhaktapur,Bagmati,Hill,RAINS,Central Region,BALKOT,06/15/71,Gorkhapatra 1971-6-16,1,0,4,0,0,3,0,0,0,0,0,0.0,0,0,0.0,Central
Makwanpur,Narayani,Hill,FLOOD,Central Region,BHIMPHEDI,06/14/71,Gorkhapatra 1971-6-16b,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Chitawan,Narayani,Terai,FLOOD,Central Region,KHAIRAHANI,06/16/71,Gorkhapatra 1971-6-17,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Chitawan,Narayani,Terai,FLOOD,Central Region,JAGATPUR,06/16/71,Gorkhapatra 1971-6-17,1,0,0,0,20,0,0,0,0,0,0,0.0,0,0,0.0,Central
Sunsari,Kosi,Terai,FLOOD,Eastern Region,Duhabi,06/17/71,Gorkhapatra 1971-6-18,1,0,0,0,0,0,0,675,0,0,0,0.0,0,0,0.0,Eastern
Bhaktapur,Bagmati,Hill,FLOOD,Central Region,SUDAL,06/17/71,Gorkhaatra 1971-6-18,1,0,0,0,0,3,0,0,0,0,0,0.0,0,0,0.0,Central
Kavre,Bagmati,Hill,LANDSLIDE,Central Region,FALAMETAR,06/18/71,Gorkhapatra 1971-6-19,1,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Lalitpur,Bagmati,Hill,FLOOD,Central Region,Chandanpur,06/18/71,Gorkhapatra 1971-6-19,1,4,1,0,1,0,0,0,0,0,0,0.0,0,0,0.0,Central
Sindhupalchok,Bagmati,Mountain,RAINS,Central Region,Barahbise,06/18/71,Gorkhapatra 1971-6-19,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Kavre,Bagmati,Hill,FLOOD,Central Region,DEBITAR,06/18/71,Gorkhapatra 1971-6-19,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Kavre,Bagmati,Hill,LANDSLIDE,Central Region,ANAIKOT,06/18/71,Gorkhapatra 1971-6-19,1,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0.0,Central
Kavre,Bagmati,Hill,LANDSLIDE,Central Region,SIMALCHAUR SYAMPATI,06/18/71,Gorkhapatra 1971-6-19,1,1,0,0,12,0,0,0,0,0,0,0.0,0,0,0.0,Central
Rautahat,Narayani,Terai,EPIDEMIC,Central Region,BASATPUR,06/20/71,Gorkhapatra 1971-6-21,1,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Bhaktapur,Bagmati,Hill,STRUCT.COLLAPSE,Central Region,CHANGUNARAYAN,06/21/71,Gorkhapatra 1971-6-22,1,0,0,0,0,3,0,0,0,0,0,0.0,0,0,0.0,Central
Sindhuli,Janakpur,Hill,FLOOD,Central Region,Kakurthakur,06/22/71,Gorkhapatra 1971-6-23,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Sindhuli,Janakpur,Hill,EPIDEMIC,Central Region,Kakurthakur,06/22/71,Gorkhapatra 1971-6-23,1,2,0,0,0,0,0,50,0,0,0,0.0,0,0,0.0,Central
Sarlahi,Janakpur,Terai,FLOOD,Central Region,JABDI,06/22/71,Gorkhapatra 1971-6-23,1,0,0,0,10,0,0,0,0,0,0,0.0,0,0,0.0,Central
Bhaktapur,Bagmati,Hill,RAINS,Central Region,DUWAKOT,06/23/71,Gorkhapatra 1971-6-24,1,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0.0,Central
Kathmandu,Bagmati,Hill,STRUCT.COLLAPSE,Central Region,KATHMANDU METROPOLITAN CITY,06/24/71,Gorkhapatra 1971-6-25,1,0,1,0,1,0,0,0,0,0,0,0.0,0,0,0.0,Central
Kavre,Bagmati,Hill,STRUCT.COLLAPSE,Central Region,BANEPA MUNICIPALITY,06/24/71,Gorkhapatra 1971-6-25,1,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,Central
Dolpa,Karnali,Mountain,LANDSLIDE,Mid-Western Region,RIMI,06/24/71,Gorkhapatra 1971-6-25,1,0,0,0,5,0,0,0,0,0,0,0.0,0,0,0.0,Mid-Western
Darchaula,Mahakali,Mountain,LANDSLIDE,Far Western Region,,06/24/71,Gorkhapatra 1971-6-25,1,10,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Far-Western
Doti,Seti,Hill,FLOOD,Far Western Region,,06/25/71,Gorkhapatra 1971-6-26,1,5,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Far-Western
Kavre,Bagmati,Hill,LANDSLIDE,Central Region,SIPALLI CHILAUNE,06/26/71,Gorkhapatra 1971-6-28,1,10,0,0,0,107,0,0,0,0,0,0.0,0,0,0.0,Central
Rautahat,Narayani,Terai,FLOOD,Central Region,BAIRIYA,07/02/71,Gorkhapatra 1971-7-4,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Sindhuli,Janakpur,Hill,FLOOD,Central Region,Bhimsthan,07/03/71,Gorkhapatra 1971-7-4,1,22,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Kavre,Bagmati,Hill,LANDSLIDE,Central Region,,07/03/71,Gorkhapatra 1971-7-4,1,9,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Achham,Seti,Hill,EPIDEMIC,Far Western Region,PATALKOT,07/11/71,Gorkhapatra 1971-7-12,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Far-Western
Doti,Seti,Hill,EPIDEMIC,Far Western Region,PACHNALI,07/17/71,Gorkhapatra 1971-7-18,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Far-Western
Bhaktapur,Bagmati,Hill,EPIDEMIC,Central Region,DADHIKOT,07/18/71,Gorkhapatra 1971-7-19,1,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Dhankuta,Kosi,Hill,FLOOD,Eastern Region,PAREWADIN,07/18/71,Gorkhapatra 1971-7-20,1,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Eastern
Kavre,Bagmati,Hill,EPIDEMIC,Central Region,CHALA GANESTHAN,07/19/71,Gorkhapatra 1971-7-20,1,8,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Jhapa,Mechi,Terai,THUNDERSTORM,Eastern Region,HALDIBARI,07/21/71,Gorkhapatra 1971-7-22,1,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Eastern
Palpa,Lumbini,Hill,LANDSLIDE,Western Region,TANSEN  N.P.,07/23/71,Gorkhapatra 1971-7-24,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Western
Palpa,Lumbini,Hill,LANDSLIDE,Western Region,TANSEN  N.P.,07/23/71,Gorkhapatra 1971-7-24,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Western
Kavre,Bagmati,Hill,EPIDEMIC,Central Region,KARTIKE DEURALI,07/24/71,Gorkhapatra 1971-7-25,1,9,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Sarlahi,Janakpur,Terai,RAINS,Central Region,,07/27/71,Gorkhapatra 1971-7-28,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Sindhupalchok,Bagmati,Mountain,EPIDEMIC,Central Region,Selan,07/28/71,Gorkhapatra 1971-7-29,1,5,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Jhapa,Mechi,Terai,FLOOD,Eastern Region,SANISCHARE,07/31/71,Gorkhapatra 1971-8-8,1,0,0,0,0,0,0,0,0,0,0,60000.0,0,0,0.0,Eastern
Morang,Kosi,Terai,FLOOD,Eastern Region,Biratnagar Municipality,07/31/71,Gorkhapatra 1971-8-9,1,0,0,0,0,0,0,135,0,0,0,0.0,0,0,0.0,Eastern
Lalitpur,Bagmati,Hill,STRUCT.COLLAPSE,Central Region,Thaiba,08/09/71,Gorkhapatra 1971-8-10,1,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0.0,Central
Sindhupalchok,Bagmati,Mountain,LANDSLIDE,Central Region,Sindhukot,08/09/71,Gorkhapatra 1971-8-11,1,3,2,0,2,0,0,0,0,0,0,0.0,0,0,0.0,Central
Sindhuli,Janakpur,Hill,LANDSLIDE,Central Region,Kapilakot,07/30/71,Gorkhapatra 1971-8-12,1,6,0,0,2,0,0,0,0,0,0,0.0,0,0,0.0,Central
Morang,Kosi,Terai,FLOOD,Eastern Region,Urlabari,08/12/71,Gorkhapatra 1971-8-13,1,0,0,0,0,14,0,0,0,0,0,0.0,0,0,0.0,Eastern
Sindhupalchok,Bagmati,Mountain,FLOOD,Central Region,Chautara,08/13/71,Gorkhapatra 1971-8-14,1,0,0,0,0,2,0,0,0,0,0,0.0,0,0,500.0,Central
Kavre,Bagmati,Hill,STRUCT.COLLAPSE,Central Region,BANEPA MUNICIPALITY,08/13/71,Gorkhapatra 1971-8-14,1,0,0,0,5,0,0,0,0,0,0,0.0,0,0,0.0,Central
Sindhupalchok,Bagmati,Mountain,STRUCT.COLLAPSE,Central Region,Attarpur,08/13/71,Gorkhapatra 1971-8-14,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Kathmandu,Bagmati,Hill,STRUCT.COLLAPSE,Central Region,KIRTIPUR MUNICIPALITY,08/13/71,Gorkhapatra 1971-8-14,1,1,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,Central
Bhaktapur,Bagmati,Hill,LANDSLIDE,Central Region,DUWAKOT,08/14/71,Gorkhapatra 1971-8-16,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Sindhupalchok,Bagmati,Mountain,STRUCT.COLLAPSE,Central Region,Tekanpur,08/20/71,Gorkhapatra 1971-8-21,1,2,1,0,1,0,0,0,0,0,0,0.0,0,0,0.0,Central
Sindhupalchok,Bagmati,Mountain,EPIDEMIC,Central Region,Karthali,08/20/71,Gorkhapatra 1971-8-21,1,60,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Rasuwa,Bagmati,Mountain,RAINS,Central Region,Bhorle,08/21/71,Gorkhapatra 1971-8-22,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Sarlahi,Janakpur,Terai,STRUCT.COLLAPSE,Central Region,GAMHARIYA,08/24/71,Gorlhaspatra 1971-8-25,1,4,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,Central
Bhaktapur,Bagmati,Hill,FIRE,Central Region,DUWAKOT,08/26/71,Gorkhapatra 1971-8-27,1,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,Central
Palpa,Lumbini,Hill,RAINS,Western Region,TANSEN  N.P.,08/26/71,Gorkhapatra 1971-8-27,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Western
Palpa,Lumbini,Hill,LANDSLIDE,Western Region,KAKLANG,08/26/71,Gorkhapatra 1971-8-27,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Western
Sunsari,Kosi,Terai,EPIDEMIC,Eastern Region,Barahachhatra,08/30/71,Gorkhapatra 1971-8-31,1,14,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Eastern
Parsa,Narayani,Terai,FIRE,Central Region,Birgunj Municipality,08/30/71,Gorkhapatra 1971-8-31,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Nuwakot,Bagmati,Hill,STRUCT.COLLAPSE,Central Region,KABILAS,08/31/71,Gorkhapatra 1971-9-1,1,1,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,Central
Kathmandu,Bagmati,Hill,EPIDEMIC,Central Region,,09/02/71,Gorkhapatra 1971-9-3,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Sarlahi,Janakpur,Terai,RAINS,Central Region,MALANGAWA MUN,09/07/71,Gorkhapatra 1971-9-8,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Kathmandu,Bagmati,Hill,EPIDEMIC,Central Region,SATUNGAL,09/13/71,Gorkhapatra 1971-9-14,1,10,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Dailekh,Bheri,Hill,RAINS,Mid-Western Region,,09/10/71,Gorkhapatra 1971-9-17,1,27,0,0,14,0,0,0,0,0,0,0.0,0,0,0.0,Mid-Western
Bhaktapur,Bagmati,Hill,PLAGUE,Central Region,DADHIKOT,09/17/71,Gorkhapatra 1971-9-19,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Saptari,Sagarmatha,Terai,EPIDEMIC,Eastern Region,RAJBIRAJ MUNICIPALITY,09/24/71,Gorkhapatra 1971-9-25,1,12,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Eastern
Dailekh,Bheri,Hill,LANDSLIDE,Mid-Western Region,LAKURI,10/07/71,Gorkhapatra 1971-10-8,1,16,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Mid-Western
Myagdi,Dhawalagiri,Hill,AVALANCHE,Western Region,,10/06/71,Gorkhapatra 1971-10-20,1,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Western
Saptari,Sagarmatha,Terai,EPIDEMIC,Eastern Region,RAJBIRAJ MUNICIPALITY,10/27/71,Gorkhapatra 1971-10-28,1,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Eastern
Syangja,Gandaki,Hill,HAIL STORM,Western Region,ARUKHARKA,11/20/71,Gorkhapatra 1971-11-21,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Western
Jhapa,Mechi,Terai,HAIL STORM,Eastern Region,,11/20/71,Gorkhapatra 1971-11-21,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Eastern
Doti,Seti,Hill,BOAT CAPSIZE,Far Western Region,SATJHERI,11/24/71,Gorkhapatra 1971-11-25,1,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Far-Western
Kathmandu,Bagmati,Hill,BOAT CAPSIZE,Central Region,BALAMBU,11/29/71,Gorkhapatra 1971-12-1,1,0,4,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Baglung,Dhawalagiri,Hill,PLAGUE,Western Region,DAMEK,12/09/71,Gorkhapatra 1971-12-10,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Western
Rupandehi,Lumbini,Terai,LANDSLIDE,Western Region,BUTAWAL_NP,12/31/71,Gorkhapatra 1972-1-1 ,1,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Western
Morang,Kosi,Terai,FIRE,Eastern Region,Biratnagar Municipality,01/13/72,Gorkhapatra 1972-1-17,1,0,0,0,0,0,0,0,0,0,0,4300000.0,0,0,0.0,Eastern
Bhaktapur,Bagmati,Hill,FIRE,Central Region,BHAKTAPUR NP,02/28/72,Gorkhapatra 1972-2-29,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Sarlahi,Janakpur,Terai,FIRE,Central Region,LAKSMIPUR (KO),03/02/72,Gorkhapatra 1972-3-3,1,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0.0,Central
Kathmandu,Bagmati,Hill,HAIL STORM,Central Region,KATHMANDU METROPOLITAN CITY,03/05/72,Gorkhapatra 1972-3-6,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Lalitpur,Bagmati,Hill,FIRE,Central Region,Chhampi,03/10/72,Gorkhapatra 1972-3-11,1,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0.0,Central
Kathmandu,Bagmati,Hill,FIRE,Central Region,KATHMANDU METROPOLITAN CITY,03/09/72,Gorkhapatra 1972-3-11,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Lalitpur,Bagmati,Hill,FIRE,Central Region,Lalitpur Municipality,03/19/72,Gorkhapatra 1972-3-20,1,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0.0,Central
Kaski,Gandaki,Hill,FIRE,Western Region,,03/23/72,Gorkhapatra 1972-3-24,1,1,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,Western
Kavre,Bagmati,Hill,FIRE,Central Region,,03/24/72,Gorkhapatra 1972-3-25,1,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0.0,Central
Sindhupalchok,Bagmati,Mountain,STORM,Central Region,Ramche,03/30/72,Gorkhapatra 1972-3-31,1,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Kathmandu,Bagmati,Hill,HAIL STORM,Central Region,KATHMANDU METROPOLITAN CITY,03/31/72,Gorkhapatra 1972-4-1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Sarlahi,Janakpur,Terai,FIRE,Central Region,JABDI,04/03/72,Gorkhapatra 1972-4-4,1,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0.0,Central
Kapilbastu,Lumbini,Terai,FIRE,Western Region,PATTHADAIHIYA,04/05/72,Gorkhapatra 1972-4-6,1,0,0,0,41,0,0,0,0,0,0,5.0,0,0,0.0,Western
Udayapur,Sagarmatha,Hill,BOAT CAPSIZE,Eastern Region,Tribeni,04/07/72,Gorkhapatra 1972-4-8,1,0,0,30,0,0,0,0,0,0,0,0.0,0,0,0.0,Eastern
Sindhupalchok,Bagmati,Mountain,FIRE,Central Region,Chautara,04/11/72,Gorkhapatra 1972-4-12,1,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0.0,Central
Manang,Gandaki,Mountain,AVALANCHE,Western Region,,04/10/72,Gorkhapatra 1972-4-15,1,15,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Western
Rasuwa,Bagmati,Mountain,HAIL STORM,Central Region,Ramche,04/10/72,Gorkhapatra 1972-4-12,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Palpa,Lumbini,Hill,FIRE,Western Region,RAMPUR,04/15/72,Gorkhapatra 1972-4-16,1,0,0,0,10,0,0,0,0,0,0,0.0,0,0,0.0,Western
Bhojpur,Kosi,Hill,BOAT CAPSIZE,Eastern Region,HELAUCHHA,04/15/72,Gorkhapatra 1972-4-16,1,4,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Eastern
Sunsari,Kosi,Terai,FIRE,Eastern Region,Bakalauri,04/17/72,Gorkhapatra 1972-4-18,1,0,0,0,11,0,0,0,0,0,0,38.0,0,0,0.0,Eastern
Bhaktapur,Bagmati,Hill,THUNDERSTORM,Central Region,CHANGUNARAYAN,04/17/72,Gorkhapatra 1972-4-19,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Lalitpur,Bagmati,Hill,FIRE,Central Region,Lalitpur Municipality,04/22/72,Gorkhapatra 1972-4-21,1,0,0,0,4,5,0,0,0,0,0,0.0,0,0,0.0,Central
Rupandehi,Lumbini,Terai,FIRE,Western Region,MADHWALIYA,04/20/72,Gorkhapatra 1972-4-24,1,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0.0,Western
Bhaktapur,Bagmati,Hill,FIRE,Central Region,DADHIKOT,04/26/72,Gorkhapatra 1972-4-26,1,0,0,0,2,1,0,0,0,0,0,0.0,0,0,0.0,Central
Chitawan,Narayani,Terai,FIRE,Central Region,RATNA NAGAR N.P.,04/26/72,Gorkhapatra 1972-4-27,1,0,0,0,20,0,0,0,0,0,0,0.0,0,0,0.0,Central
Kathmandu,Bagmati,Hill,FIRE,Central Region,KATHMANDU METROPOLITAN CITY,05/01/72,Gorkhapatra 1972-5-3,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
