district,Zone,Geographical Region,Disaster,region,village,Date,Source,Data Cards,Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Victims,Affected,Relocated,Evacuated,Losses USD,Losses Local,Education centers,Hospitals,Damages in crops Ha.,Region
Gorkha,Gandaki,Hill,FIRE,Western Region,KHOPLAN,02/26/71,Gorkhapatra 1971-2-26,1,0,0,0,0,8,0,0,0,0,0,0.0,0,0,0.0,Western
Lalitpur,Bagmati,Hill,FIRE,Central Region,Lubhu,03/05/71,Gorkhapatra 1971-3-6,1,0,0,0,6,0,0,0,0,0,0,0.0,0,0,0.0,Central
Dolakha,Janakpur,Mountain,EPIDEMIC,Central Region,,03/16/71,Gorkhapatra 1971-3-17,1,8,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Kaski,Gandaki,Hill,FIRE,Western Region,,03/18/71,Gorkhapatra 1971-3-19,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Western
Kathmandu,Bagmati,Hill,FIRE,Central Region,MANAMAJU,03/23/71,Gorkhapatra 1971-3-24,1,0,0,0,1,0,0,0,0,0,0,750.0,0,0,0.0,Central
Mahottari,Janakpur,Terai,EPIDEMIC,Central Region,Damhi Madai,03/23/71,Gorkhapatra 1971-3-24,1,9,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Bhaktapur,Bagmati,Hill,FIRE,Central Region,DADHIKOT,03/27/71,Gorkhapatra 1971-3-28,1,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,Central
Kathmandu,Bagmati,Hill,FIRE,Central Region,KATHMANDU METROPOLITAN CITY,03/27/71,Gorkhapatra 1971-3- 28,1,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0.0,Central
Mahottari,Janakpur,Terai,FIRE,Central Region,Dhirapur,03/29/71,Gorkhapatra 1971-3-30,1,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0.0,Central
Mahottari,Janakpur,Terai,EPIDEMIC,Central Region,Phulkaha,04/02/71,Gorkhapatra 1971-4-3,1,2,30,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Dhanusa,Janakpur,Terai,EPIDEMIC,Central Region,Bagchauda,04/02/71,Gorkhapatra 1971-4-3,1,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Kathmandu,Bagmati,Hill,THUNDERSTORM,Central Region,KATHMANDU METROPOLITAN CITY,04/07/71,Gorkhapatra 1971-4-8,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Kathmandu,Bagmati,Hill,STORM,Central Region,KATHMANDU METROPOLITAN CITY,04/10/71,Gorkhapatra 1971-4-11,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0.0,Central
Kathmandu,Bagmati,Hill,STRUCT.COLLAPSE,Central Region,KAPAN,04/10/71,Gorkhapatra 1971-4-12,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Bhaktapur,Bagmati,Hill,THUNDERSTORM,Central Region,BHAKTAPUR NP,04/12/71,Gorkhapatra 1971-4-13,1,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Mahottari,Janakpur,Terai,FIRE,Central Region,Kolhuwa Bagaiya,04/13/71,Gorkhapatra 1971-4-14,1,0,0,0,5,0,0,0,0,0,0,0.0,0,0,0.0,Central
Salyan,Rapti,Hill,THUNDERSTORM,Mid-Western Region,CHANDE  KARANGI,04/19/71,Gorkhapatra 1971-4-20,1,4,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Mid-Western
Tanahu,Gandaki,Hill,STORM,Western Region,VYAS_NP_(DAMAULI),04/21/71,Gorkhapatra 1971-4-22,1,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0.0,Western
Tanahu,Gandaki,Hill,FLOOD,Western Region,VYAS_NP_(DAMAULI),04/21/71,Gorkhapatra 1971-4-22,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Western
Bhaktapur,Bagmati,Hill,RAINS,Central Region,BHAKTAPUR NP,04/23/71,Gorkhapatra 1971-4-24,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Sindhupalchok,Bagmati,Mountain,HAIL STORM,Central Region,,04/25/71,Gorkhapatra 1971-4-28,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Sindhupalchok,Bagmati,Mountain,EPIDEMIC,Central Region,Bhimtar,04/25/71,Gorkhapatra 1971-4-26,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Banke,Bheri,Terai,HAIL STORM,Mid-Western Region,NEPALGANJ N.P.,04/29/71,Gorkhapatra 1971-4-30,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Mid-Western
Doti,Seti,Hill,FIRE,Far Western Region,SIMCHAUR,05/05/71,Gorkhapatra 1971-5-6,1,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0.0,Far-Western
Syangja,Gandaki,Hill,HAIL STORM,Western Region,BAHAKOT,05/05/71,Gorkhapatra 1971-5-6,1,1,0,2,0,0,0,0,0,0,0,0.0,0,0,0.0,Western
Morang,Kosi,Terai,FIRE,Eastern Region,Biratnagar Municipality,05/07/71,Gorkhapatra 1971-5-8,1,0,0,0,0,0,0,0,0,0,0,800000.0,0,0,0.0,Eastern
Mahottari,Janakpur,Terai,RAINS,Central Region,Matihani,05/08/71,Gorkhapatra 1971-5-9,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
