district,Zone,Geographical Region,Disaster,region,village,Date,Source,Data Cards,Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Victims,Affected,Relocated,Evacuated,Losses USD,Losses Local,Education centers,Hospitals,Damages in crops Ha.,Region
Kathmandu,Bagmati,Hill,EARTHQUAKE,Central Region,KATHMANDU METROPOLITAN CITY,08/21/88,Gorkhapatra 1988-8-22 Yr-88No-109,1.0,0,6,0,10,240,0,0,0,0,0,0.0,9,0,0.0,Central
Morang,Kosi,Terai,EARTHQUAKE,Eastern Region,,08/21/88,Gorkhapatra 1988-8-22 Y-88No-109,1.0,32,373,0,214,883,0,0,0,0,0,0.0,101,0,0.0,Eastern
Terhathum,Kosi,Hill,EARTHQUAKE,Eastern Region,,08/21/88,Gorkhapatra 1988-8-22 Yr-88No-109,1.0,67,138,0,1153,2469,0,0,0,0,0,0.0,77,0,0.0,Eastern
Ilam,Mechi,Hill,EARTHQUAKE,Eastern Region,,08/23/88,Gorkhapatra 1988-8-22 Yr-88No-109,1.0,73,441,0,443,2842,0,0,0,0,0,0.0,103,0,0.0,Eastern
Saptari,Sagarmatha,Terai,EARTHQUAKE,Eastern Region,,08/24/88,Gorkhapatra 1988-8-22 Yr-88No-109,1.0,13,125,0,1230,91,0,0,0,0,0,0.0,78,0,0.0,Eastern
Sankhuwasabha,Kosi,Mountain,EARTHQUAKE,Eastern Region,,08/21/88,Gorkhapatra 1988-8-22 Yr-88No-109,1.0,19,47,0,672,1497,0,0,0,0,0,0.0,87,0,0.0,Eastern
Taplejung,Mechi,Mountain,EARTHQUAKE,Eastern Region,,08/21/88,Gorkhapatra 1988-8-22 Y-88No-109,1.0,3,5,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Eastern
Sindhuli,Janakpur,Hill,EARTHQUAKE,Central Region,,08/21/88,Gorkhapatra 1988-8-22 Yr-88No-109,1.0,32,242,0,1670,1177,0,0,0,0,0,0.0,125,0,0.0,Central
Dolakha,Janakpur,Mountain,EARTHQUAKE,Central Region,,08/21/88,Gorkhapatra 1988-8-22 Yr-88No-109,1.0,2,19,0,268,933,0,0,0,0,0,0.0,99,0,0.0,Central
Dhanusa,Janakpur,Terai,EARTHQUAKE,Central Region,,08/21/88,Gorkhapatra 1988-8-22 Yr-88No-109,1.0,2,28,0,375,306,0,0,0,0,0,0.0,93,0,0.0,Central
Ramechhap,Janakpur,Hill,EARTHQUAKE,Central Region,,08/21/88,Gorkhapatra 1988-8-22 Yr-88No-109,1.0,2,33,0,589,1800,0,0,0,0,0,0.0,107,0,0.0,Central
Mahottari,Janakpur,Terai,EARTHQUAKE,Central Region,,08/21/88,Gorkhapatra 1988-8-22 Yr-88No-109,1.0,1,20,0,26,42,0,0,0,0,0,0.0,17,0,0.0,Central
Kavre,Bagmati,Hill,EARTHQUAKE,Central Region,,08/21/88,Gorkhapatra 1988-8-22 Yr-88No-109,1.0,4,23,0,1000,747,0,0,0,0,0,0.0,183,0,0.0,Central
Jhapa,Mechi,Terai,EARTHQUAKE,Eastern Region,,08/21/88,Gorkhapatra 1988-8-22 Yr-88No-109,1.0,4,30,0,14,89,0,0,0,0,0,0.0,3,0,0.0,Eastern
Sindhupalchok,Bagmati,Mountain,EARTHQUAKE,Central Region,,08/21/88,Gorkhapatra 1988-8-22 Yr-88No-109,1.0,2,34,0,711,478,0,0,0,0,0,0.0,140,0,0.0,Central
