Organization Name,Cluster,District Name,Description,Amount
International Medical Crops,Shelter and Non-food Items,"Gorkha, Sindhuli, Dhading, Nuwakot, Sindhupalchok, Kavre, Dolakha, Kathmandu, Bhaktapur, Lalitpur, Makwanpur",Health Post Construction,90000000
Health Foundation Nepal,Shelter and Non-food Items,Lalitpur,Health Post Construction,4017833
Sipradiyan Sahayata Sanstha,Shelter and Non-food Items,Sindhupalchok,Health Post Construction,15940000
Rainbow Children Nepal,Shelter and Non-food Items,Dhading,Sub-Health Post Construction,2500000
Kam for Sustainable Development Nepal,Shelter and Non-food Items,Ramechhap,Birthing and Health Center Reconstruction,9081847
Fairmed Foundation,Shelter and Non-food Items,Sindhupalchok,Health Post Construction,31091214
Medicine Du Monde,Shelter and Non-food Items,Sindhupalchok,Health Post Construction,130756416
Terre Des Hommes,Shelter and Non-food Items,Kavre,Health Post Construction,221280340
Nepal Jesuit Society,Shelter and Non-food Items,Sindhupalchok,Private Habitat,25300000
Dalit Sewa Sangh,Shelter and Non-food Items,Lamjung,Building School Buildings,33866129
Concern Worldwide Nepal,Shelter and Non-food Items,"Gorkha, Dolakha, Dhading, Sindhuli",Building School Buildings,888818859
Kauripani Mother’s Group,Shelter and Non-food Items,Gorkha,Community Building,1500000
Choice Humanitarian Nepal,Shelter and Non-food Items,Lamjung,Private Habitat,15000000
Okaldhunga Naau Dadha Society,Shelter and Non-food Items,Okhaldhunga,Building School Buildings,4000000
Sagarmatha Yuwa Club,Shelter and Non-food Items,Solukhumbu,Building School Buildings,4320000
Eco Himal Nepal,Shelter and Non-food Items,Kavre,Building School Buildings,13190450
Namgyal Rinpoche Foundation ,Shelter and Non-food Items,Ramechhap,Building School Buildings,4317755
Hamani Trust,Shelter and Non-food Items,Gorkha,Building School Buildings,29870218
Nepal Rises,Shelter and Non-food Items,Nuwakot,Building School Buildings,11602750
Committed Nepal,Shelter and Non-food Items,Sindhupalchok,Building School Buildings,2116000
Rotary Club Jawalakhel,Shelter and Non-food Items,"Okhaldhunga, Dolakha",Building School Buildings,3841000
ICCO Cooperation,Early Recovery,Sindhupalchok,Livelihood Improvement,45380200
People in Need,Early Recovery,Sindhupalchok,Reconstruction of community infrastructure and rehabilitation of livelihoods.,22107100
IM Swedish Development Partner,"Early Recovery, Education",Gorkha,"Livelihood, Education and Economic empowerment",30527255
Manav Adhikarko Lagi Mahila Ekal Samuha,Not applicable,"Nuwakot, Bhaktapur","Livelihood Improvement, Emergency",4576450
Round Table Nepal,Shelter and Non-food Items,Gorkha,Building School Buildings,10000000
Paryanvaran Samrachan Manch Nepal,Shelter and Non-food Items,Dhading,Building School Buildings,5234241
Ganesh Himal Association,Shelter and Non-food Items,Gorkha,Building School Buildings,50000000
Langtang Himal Conservative Society,Shelter and Non-food Items,Rasuwa,Building School Buildings,7000000
Committed Nepal,"Shelter and Non-food Items, Water Sanitation and Hygiene",Sindhupalchok,"Build Canteen, Safe Water, toilet",2131000
Safa Sunaulo Nepal,Shelter and Non-food Items,Kathmandu,Building School Buildings,16648560
Birat Nepal Medical Trust,Shelter and Non-food Items,Makwanpur,Build Health institution,43449999
Ujyaalo Gau Nirman Abhiyan,"Shelter and Non-food Items, Water Sanitation and Hygiene",Kavre,Build Private Habitat,43340000
Malteser International,"Shelter and Non-food Items, Water Sanitation and Hygiene","Sindhupalchok, Nuwakot, Kavre","Shelter, Health, WASH",14778903
WeWorld Onlus,"Shelter and Non-food Items, Water Sanitation and Hygiene",Kavre,"Building School Buildings, Water and Sanitation",57048200
Himalayan Gramin Bikash Society,Shelter and Non-food Items,Okhaldhunga,Building School Buildings,8050000
SOS Balgram Nepal,Shelter and Non-food Items,Sindhupalchok,"Build habitat, community buildings, emergency assistance",950950000
"Build Change, Lalitpur","Shelter and Non-food Items, Early Recovery","Sindhupalchok, Kavre, Rasuwa, Nuwakot","Building School Buildings, community sample house, retrofit, training",93415591
