Epicentre,Zone,Geographical Region,Development Region,Date,Category,Value
Sindhupalchok,Bagmati,Mountain,Central,4/7/2011,Latitude,27.93
Sindhupalchok,Bagmati,Mountain,Central,11/8/2011,Latitude,27.94
Sindhupalchok,Bagmati,Mountain,Central,5/26/2013,Latitude,27.72
Sindhupalchok,Bagmati,Mountain,Central,6/2/2008,Longitude,85.91
Sindhupalchok,Bagmati,Mountain,Central,6/20/2008,Longitude,85.73
Sindhupalchok,Bagmati,Mountain,Central,1/18/2011,Longitude,85.94
Sindhupalchok,Bagmati,Mountain,Central,4/7/2011,Longitude,85.61
Sindhupalchok,Bagmati,Mountain,Central,11/8/2011,Longitude,85.55
Sindhupalchok,Bagmati,Mountain,Central,5/26/2013,Longitude,85.91
Sindhupalchok,Bagmati,Mountain,Central,6/2/2008,Magnitude (ml),4.1
Sindhupalchok,Bagmati,Mountain,Central,6/20/2008,Magnitude (ml),4.8
Sindhupalchok,Bagmati,Mountain,Central,1/18/2011,Magnitude (ml),4.3
Sindhupalchok,Bagmati,Mountain,Central,4/7/2011,Magnitude (ml),4.1
Sindhupalchok,Bagmati,Mountain,Central,11/8/2011,Magnitude (ml),4.1
Sindhupalchok,Bagmati,Mountain,Central,5/26/2013,Magnitude (ml),4.2
Siraha,Sagarmatha,Terai,Eastern,2/16/2008,Latitude,26.8
Siraha,Sagarmatha,Terai,Eastern,1/18/2012,Latitude,26.63
Siraha,Sagarmatha,Terai,Eastern,1/24/2012,Latitude,26.84
Siraha,Sagarmatha,Terai,Eastern,1/13/2013,Latitude,26.84
Siraha,Sagarmatha,Terai,Eastern,2/16/2008,Longitude,86.25
Siraha,Sagarmatha,Terai,Eastern,1/18/2012,Longitude,86.4
Siraha,Sagarmatha,Terai,Eastern,1/24/2012,Longitude,86.43
Siraha,Sagarmatha,Terai,Eastern,1/13/2013,Longitude,86.22
Siraha,Sagarmatha,Terai,Eastern,2/16/2008,Magnitude (ml),4.2
Siraha,Sagarmatha,Terai,Eastern,1/18/2012,Magnitude (ml),4.5
Siraha,Sagarmatha,Terai,Eastern,1/24/2012,Magnitude (ml),4.0
Siraha,Sagarmatha,Terai,Eastern,1/13/2013,Magnitude (ml),4.0
Solukhumbu,Sagarmatha,Mountain,Eastern,6/13/2010,Latitude,28.01
Solukhumbu,Sagarmatha,Mountain,Eastern,6/13/2010,Longitude,86.77
Solukhumbu,Sagarmatha,Mountain,Eastern,6/13/2010,Magnitude (ml),4.0
Southern Bajhang,,,,7/11/2012,Latitude,29.43
Southern Bajhang,,,,11/11/2012,Latitude,29.51
Southern Bajhang,,,,7/11/2012,Longitude,81.03
Southern Bajhang,,,,11/11/2012,Longitude,81.13
Southern Bajhang,,,,7/11/2012,Magnitude (ml),4.9
Southern Bajhang,,,,11/11/2012,Magnitude (ml),5.6
Southern Dailekh,,,,8/28/2012,Latitude,28.73
Southern Dailekh,,,,8/28/2012,Longitude,81.81
Southern Dailekh,,,,8/28/2012,Magnitude (ml),4.4
Southern Rukum,,,,7/31/2012,Latitude,28.55
Southern Rukum,,,,7/31/2012,Latitude,28.53
Southern Rukum,,,,7/31/2012,Latitude,28.58
Southern Rukum,,,,8/30/2012,Latitude,28.61
Southern Rukum,,,,9/17/2012,Latitude,28.59
Southern Rukum,,,,7/31/2012,Longitude,82.37
Southern Rukum,,,,7/31/2012,Longitude,82.42
Southern Rukum,,,,7/31/2012,Longitude,82.48
Southern Rukum,,,,8/30/2012,Longitude,82.43
Southern Rukum,,,,9/17/2012,Longitude,82.41
Southern Rukum,,,,7/31/2012,Magnitude (ml),4.2
Southern Rukum,,,,7/31/2012,Magnitude (ml),4.8
Southern Rukum,,,,7/31/2012,Magnitude (ml),5.0
Southern Rukum,,,,8/30/2012,Magnitude (ml),4.5
Southern Rukum,,,,9/17/2012,Magnitude (ml),4.4
Taplejung,Mechi,Mountain,Eastern,2/14/2012,Latitude,27.33
Taplejung,Mechi,Mountain,Eastern,5/30/2012,Latitude,27.31
Taplejung,Mechi,Mountain,Eastern,2/14/2012,Longitude,88.03
Taplejung,Mechi,Mountain,Eastern,5/30/2012,Longitude,87.88
Taplejung,Mechi,Mountain,Eastern,2/14/2012,Magnitude (ml),4.4
Taplejung,Mechi,Mountain,Eastern,5/30/2012,Magnitude (ml),4.2
Taplejung,Mechi,Mountain,Eastern,2/14/2008,Latitude,27.8
Taplejung,Mechi,Mountain,Eastern,5/8/2008,Latitude,27.5
Taplejung,Mechi,Mountain,Eastern,10/7/2008,Latitude,27.47
Taplejung,Mechi,Mountain,Eastern,12/2/2008,Latitude,27.32
Taplejung,Mechi,Mountain,Eastern,12/2/2008,Latitude,27.3
Taplejung,Mechi,Mountain,Eastern,12/2/2008,Latitude,27.29
Taplejung,Mechi,Mountain,Eastern,12/2/2008,Latitude,27.34
Taplejung,Mechi,Mountain,Eastern,12/2/2008,Latitude,27.3
Taplejung,Mechi,Mountain,Eastern,1/10/2009,Latitude,27.9
Taplejung,Mechi,Mountain,Eastern,3/8/2009,Latitude,27.41
Taplejung,Mechi,Mountain,Eastern,11/2/2009,Latitude,27.87
Taplejung,Mechi,Mountain,Eastern,6/3/2011,Latitude,27.6
Taplejung,Mechi,Mountain,Eastern,12/9/2011,Latitude,27.83
Taplejung,Mechi,Mountain,Eastern,12/14/2011,Latitude,27.72
Taplejung,Mechi,Mountain,Eastern,12/18/2011,Latitude,27.73
Taplejung,Mechi,Mountain,Eastern,2/14/2008,Longitude,86.53
Taplejung,Mechi,Mountain,Eastern,5/8/2008,Longitude,87.52
Taplejung,Mechi,Mountain,Eastern,10/7/2008,Longitude,87.71
Taplejung,Mechi,Mountain,Eastern,12/2/2008,Longitude,87.99
Taplejung,Mechi,Mountain,Eastern,12/2/2008,Longitude,87.99
Taplejung,Mechi,Mountain,Eastern,12/2/2008,Longitude,87.92
Taplejung,Mechi,Mountain,Eastern,12/2/2008,Longitude,87.92
Taplejung,Mechi,Mountain,Eastern,12/2/2008,Longitude,88.03
Taplejung,Mechi,Mountain,Eastern,1/10/2009,Longitude,88.04
Taplejung,Mechi,Mountain,Eastern,3/8/2009,Longitude,87.8
Taplejung,Mechi,Mountain,Eastern,11/2/2009,Longitude,87.94
Taplejung,Mechi,Mountain,Eastern,6/3/2011,Longitude,88.03
Taplejung,Mechi,Mountain,Eastern,12/9/2011,Longitude,88.13
Taplejung,Mechi,Mountain,Eastern,12/14/2011,Longitude,88.09
Taplejung,Mechi,Mountain,Eastern,12/18/2011,Longitude,88.16
Taplejung,Mechi,Mountain,Eastern,2/14/2008,Magnitude (ml),4.1
Taplejung,Mechi,Mountain,Eastern,5/8/2008,Magnitude (ml),4.2
Taplejung,Mechi,Mountain,Eastern,10/7/2008,Magnitude (ml),4.5
Taplejung,Mechi,Mountain,Eastern,12/2/2008,Magnitude (ml),5.4
Taplejung,Mechi,Mountain,Eastern,12/2/2008,Magnitude (ml),4.0
Taplejung,Mechi,Mountain,Eastern,12/2/2008,Magnitude (ml),4.3
Taplejung,Mechi,Mountain,Eastern,12/2/2008,Magnitude (ml),4.1
Taplejung,Mechi,Mountain,Eastern,12/2/2008,Magnitude (ml),4.0
Taplejung,Mechi,Mountain,Eastern,1/10/2009,Magnitude (ml),4.2
Taplejung,Mechi,Mountain,Eastern,3/8/2009,Magnitude (ml),4.5
Taplejung,Mechi,Mountain,Eastern,11/2/2009,Magnitude (ml),4.0
Taplejung,Mechi,Mountain,Eastern,6/3/2011,Magnitude (ml),5.2
Taplejung,Mechi,Mountain,Eastern,12/9/2011,Magnitude (ml),4.2
Taplejung,Mechi,Mountain,Eastern,12/14/2011,Magnitude (ml),4.9
Taplejung,Mechi,Mountain,Eastern,12/18/2011,Magnitude (ml),4.6
Taplejung-Sikkim Border  ,,,,9/18/2011,Latitude,27.78
Taplejung-Sikkim Border  ,,,,2/14/2012,Latitude,27.38
Taplejung-Sikkim Border  ,,,,9/18/2011,Longitude,88.32
Taplejung-Sikkim Border  ,,,,2/14/2012,Longitude,88.11
Taplejung-Sikkim Border  ,,,,9/18/2011,Magnitude (ml),6.8
Taplejung-Sikkim Border  ,,,,2/14/2012,Magnitude (ml),4.5
Tibet  ,,,,10/17/2010,Latitude,28.64
Tibet  ,,,,8/30/2013,Latitude,28.43
Tibet  ,,,,10/17/2010,Longitude,85.71
Tibet  ,,,,8/30/2013,Longitude,86.03
Tibet  ,,,,10/17/2010,Magnitude (ml),5.0
Tibet  ,,,,8/30/2013,Magnitude (ml),6.0
Udayapur,Sagarmatha,Hill,Eastern,8/27/2011,Latitude,26.94
Udayapur,Sagarmatha,Hill,Eastern,8/27/2011,Longitude,86.6
Udayapur,Sagarmatha,Hill,Eastern,8/27/2011,Magnitude (ml),5.0
Western Mugu,,,,5/14/2013,Latitude,29.65
Western Mugu,,,,5/14/2013,Longitude,81.98
Western Mugu,,,,5/14/2013,Magnitude (ml),4.5
