Year AD,Year BS,Categories,Value
2008,2065,"Windstorms, Hailstorm & Thunderbolt",16
2008,2065,Avalanche,0
2008,2065,Fire,11
2008,2065,Epidemic,10
2008,2065,Stampede,0
2008,2065,Total,171
2009,2066,Flood & Landslides,135
2009,2066,Earthquake,0
2009,2066,"Windstorms, Hailstorm & Thunderbolt",7
2009,2066,Avalanche,2
2009,2066,Fire,35
2009,2066,Epidemic,462
2009,2066,Stampede,0
2009,2066,Total,641
2010,2067,Flood & Landslides,240
2010,2067,Earthquake,0
2010,2067,"Windstorms, Hailstorm & Thunderbolt",70
2010,2067,Avalanche,0
2010,2067,Fire,69
2010,2067,Epidemic,36
2010,2067,Stampede,NA 
2010,2067,Total,415
2011,2068,Flood & Landslides,252
2011,2068,Earthquake,6
2011,2068,"Windstorms, Hailstorm & Thunderbolt",114
2011,2068,Avalanche,0
2011,2068,Fire,46
2011,2068,Epidemic,9
2011,2068,"Boat, Capsize, Cold wave & Drowning",80
2011,2068,Stampede,NA 
2011,2068,Total,507
2012,2069,Flood & Landslides,112
2012,2069,Earthquake,1
2012,2069,"Windstorms, Hailstorm & Thunderbolt",148
2012,2069,Avalanche,9
2012,2069,Fire,77
2012,2069,Epidemic,33
2012,2069,"Boat, Capsize, Cold wave & Drowning",5
2012,2069,Stampede,NA 
2012,2069,Total,385
2013,2070,Flood & Landslides,219
2013,2070,Earthquake,0
2013,2070,"Windstorms, Hailstorm & Thunderbolt",154
2013,2070,Avalanche,8
2013,2070,Fire,59
2013,2070,Epidemic,4
2013,2070,"Boat, Capsize, Cold wave & Drowning",16
2013,2070,Stampede,NA 
2013,2070,Total,460
