District,Zone,Geographical Region,Development Region,Causalities,In Number
Darchaula,Mahakali,Mountain,Far-Western,Injured,0
Darchaula,Mahakali,Mountain,Far-Western,Govt. Houses Fully Destroyed,0
Darchaula,Mahakali,Mountain,Far-Western,Govt. Houses Partially Destroyed,0
Darchaula,Mahakali,Mountain,Far-Western,Public House Fully Destroyed,0
Darchaula,Mahakali,Mountain,Far-Western,Public House Partially Destroyed,0
Baitadi,Mahakali,Hill,Far-Western,Total No. of Houses,45191
Baitadi,Mahakali,Hill,Far-Western,Total Population,250898
Baitadi,Mahakali,Hill,Far-Western,Dead Male,0
Baitadi,Mahakali,Hill,Far-Western,Dead Female,0
Baitadi,Mahakali,Hill,Far-Western,Dead Unknown,0
Baitadi,Mahakali,Hill,Far-Western,Injured,0
Baitadi,Mahakali,Hill,Far-Western,Govt. Houses Fully Destroyed,0
Baitadi,Mahakali,Hill,Far-Western,Govt. Houses Partially Destroyed,0
Baitadi,Mahakali,Hill,Far-Western,Public House Fully Destroyed,0
Baitadi,Mahakali,Hill,Far-Western,Public House Partially Destroyed,0
Dadeldhura,Mahakali,Hill,Far-Western,Total No. of Houses,27045
Dadeldhura,Mahakali,Hill,Far-Western,Total Population,142094
Dadeldhura,Mahakali,Hill,Far-Western,Dead Male,0
Dadeldhura,Mahakali,Hill,Far-Western,Dead Female,0
Dadeldhura,Mahakali,Hill,Far-Western,Dead Unknown,0
Dadeldhura,Mahakali,Hill,Far-Western,Injured,0
Dadeldhura,Mahakali,Hill,Far-Western,Govt. Houses Fully Destroyed,0
Dadeldhura,Mahakali,Hill,Far-Western,Govt. Houses Partially Destroyed,0
Dadeldhura,Mahakali,Hill,Far-Western,Public House Fully Destroyed,0
Dadeldhura,Mahakali,Hill,Far-Western,Public House Partially Destroyed,1
Kanchanpur,Mahakali,Terai,Far-Western,Total No. of Houses,82152
Kanchanpur,Mahakali,Terai,Far-Western,Total Population,451248
Kanchanpur,Mahakali,Terai,Far-Western,Dead Male,0
Kanchanpur,Mahakali,Terai,Far-Western,Dead Female,0
Kanchanpur,Mahakali,Terai,Far-Western,Dead Unknown,0
Kanchanpur,Mahakali,Terai,Far-Western,Injured,1
Kanchanpur,Mahakali,Terai,Far-Western,Govt. Houses Fully Destroyed,0
Kanchanpur,Mahakali,Terai,Far-Western,Govt. Houses Partially Destroyed,1
Kanchanpur,Mahakali,Terai,Far-Western,Public House Fully Destroyed,0
Kanchanpur,Mahakali,Terai,Far-Western,Public House Partially Destroyed,0
